time_s,omega_deg_per_s
8.4667,-0.363648
8.5000,-0.350161
8.5333,-0.351846
8.5667,-0.352128
8.6000,-0.348731
8.6333,-0.351108
8.6667,-0.350279
8.7000,-0.354255
8.7333,-0.351878
8.7667,-0.354045
8.8000,-0.354755
8.8333,-0.353462
8.8667,-0.350257
8.9000,-0.344656
8.9333,-0.342224
8.9667,-0.345553
9.0000,-0.344610
9.0333,-0.343672
9.0667,-0.347807
9.1000,-0.345321
9.1333,-0.341227
9.1667,-0.343905
9.2000,-0.342693
9.2333,-0.341655
9.2667,-0.344201
9.3000,-0.345571
9.3333,-0.342124
9.3667,-0.340089
9.4000,-0.340731
9.4333,-0.339875
9.4667,-0.337093
9.5000,-0.316333
9.5333,-0.316698
9.5667,-0.316024
9.6000,-0.320832
9.6333,-0.318255
9.6667,-0.318888
9.7000,-0.317003
9.7333,-0.318851
9.7667,-0.319307
9.8000,-0.321292
9.8333,-0.320623
9.8667,-0.319134
9.9000,-0.310000
9.9333,-0.307122
9.9667,-0.305528
10.0000,-0.312103
10.0333,-0.313114
10.0667,-0.313278
10.1000,-0.313210
10.1333,-0.308661
10.1667,-0.305965
10.2000,-0.305373
10.2333,-0.306088
10.2667,-0.304126
10.3000,-0.301894
10.3333,-0.297751
10.3667,-0.292150
10.4000,-0.294764
10.4333,-0.292642
10.4667,-0.291722
10.5000,-0.299522
10.5333,-0.299422
10.5667,-0.296781
10.6000,-0.284837
10.6333,-0.284887
10.6667,-0.280866
10.7000,-0.281659
10.7333,-0.278144
10.7667,-0.277497
10.8000,-0.278389
10.8333,-0.280411
10.8667,-0.282287
10.9000,-0.279928
10.9333,-0.282114
10.9667,-0.281213
11.0000,-0.282870
11.0333,-0.279500
11.0667,-0.277670
11.1000,-0.274665
11.1333,-0.276477
11.1667,-0.276113
11.2000,-0.285529
11.2333,-0.281905
11.2667,-0.280621
11.3000,-0.279974
11.3333,-0.282542
11.3667,-0.280265
11.4000,-0.281194
11.4333,-0.280448
11.4667,-0.278162
11.5000,-0.272388
11.5333,-0.269920
11.5667,-0.268458
11.6000,-0.272916
11.6333,-0.279906
11.6667,-0.286645
11.7000,-0.287943
11.7333,-0.287401
11.7667,-0.289809
11.8000,-0.293835
11.8333,-0.299918
11.8667,-0.307859
11.9000,-0.313729
11.9333,-0.318628
11.9667,-0.321720
12.0000,-0.325349
12.0333,-0.327325
12.0667,-0.330067
12.1000,-0.331451
12.1333,-0.337193
12.1667,-0.340649
12.2000,-0.343845
12.2333,-0.350776
12.2667,-0.352961
12.3000,-0.353458
12.3333,-0.355999
12.3667,-0.358489
12.4000,-0.361349
12.4333,-0.363311
12.4667,-0.366121
12.5000,-0.368297
12.5333,-0.370829
12.5667,-0.374130
12.6000,-0.381871
12.6333,-0.382286
12.6667,-0.387900
12.7000,-0.381443
12.7333,-0.382991
12.7667,-0.381093
12.8000,-0.384394
12.8333,-0.380797
12.8667,-0.385059
12.9000,-0.383570
12.9333,-0.382313
12.9667,-0.386598
13.0000,-0.386748
13.0333,-0.389676
13.0667,-0.393460
13.1000,-0.388456
13.1333,-0.386707
13.1667,-0.383656
13.2000,-0.388305
13.2333,-0.386657
13.2667,-0.386079
13.3000,-0.385833
13.3333,-0.379799
13.3667,-0.374882
13.4000,-0.372095
13.4333,-0.373812
13.4667,-0.369272
13.5000,-0.357743
13.5333,-0.355065
13.5667,-0.353389
13.6000,-0.361176
13.6333,-0.353990
13.6667,-0.352333
13.7000,-0.351655
13.7333,-0.347538
13.7667,-0.343021
13.8000,-0.341009
13.8333,-0.337712
13.8667,-0.336378
13.9000,-0.335394
13.9333,-0.332330
13.9667,-0.329006
14.0000,-0.339292
14.0333,-0.336715
14.0667,-0.332343
14.1000,-0.324821
14.1333,-0.324826
14.1667,-0.319243
14.2000,-0.317636
14.2333,-0.312454
14.2667,-0.313360
14.3000,-0.309653
14.3333,-0.311215
14.3667,-0.309949
14.4000,-0.312140
14.4333,-0.313943
14.4667,-0.309995
14.5000,-0.310391
14.5333,-0.310323
14.5667,-0.307299
14.6000,-0.303943
14.6333,-0.299982
14.6667,-0.297031
14.7000,-0.294085
14.7333,-0.296116
14.7667,-0.292487
14.8000,-0.292705
14.8333,-0.287046
14.8667,-0.288594
14.9000,-0.284582
14.9333,-0.279123
14.9667,-0.277948
15.0000,-0.276736
15.0333,-0.274888
15.0667,-0.273030
15.1000,-0.262480
15.1333,-0.268722
15.1667,-0.268185
15.2000,-0.273262
15.2333,-0.272333
15.2667,-0.270084
15.3000,-0.270343
15.3333,-0.265316
15.3667,-0.265845
15.4000,-0.261209
15.4333,-0.261145
15.4667,-0.257744
15.5000,-0.241784
15.5333,-0.241652
15.5667,-0.244243
15.6000,-0.241953
15.6333,-0.239972
15.6667,-0.238082
15.7000,-0.235031
15.7333,-0.238146
15.7667,-0.237258
15.8000,-0.235824
15.8333,-0.237581
15.8667,-0.232746
15.9000,-0.229599
15.9333,-0.226849
15.9667,-0.228511
16.0000,-0.230674
16.0333,-0.226480
16.0667,-0.222937
16.1000,-0.228424
16.1333,-0.227495
16.1667,-0.227514
16.2000,-0.223051
16.2333,-0.222969
16.2667,-0.220082
16.3000,-0.215693
16.3333,-0.220183
16.3667,-0.216959
16.4000,-0.217432
16.4333,-0.214345
16.4667,-0.214618
16.5000,-0.214609
16.5333,-0.211786
16.5667,-0.209436
16.6000,-0.209500
16.6333,-0.206258
16.6667,-0.207151
16.7000,-0.197051
16.7333,-0.199073
16.7667,-0.198139
16.8000,-0.204815
16.8333,-0.208448
16.8667,-0.204632
16.9000,-0.207865
16.9333,-0.204505
16.9667,-0.210971
17.0000,-0.213612
17.0333,-0.214072
17.0667,-0.211704
17.1000,-0.209077
17.1333,-0.207014
17.1667,-0.209327
17.2000,-0.212337
17.2333,-0.211281
17.2667,-0.211868
17.3000,-0.211485
17.3333,-0.207701
17.3667,-0.210088
17.4000,-0.210420
17.4333,-0.211485
17.4667,-0.210379
17.5000,-0.210119
17.5333,-0.210242
17.5667,-0.211317
17.6000,-0.212487
17.6333,-0.213744
17.6667,-0.216312
17.7000,-0.211995
17.7333,-0.209928
17.7667,-0.213389
17.8000,-0.212669
17.8333,-0.210989
17.8667,-0.215078
17.9000,-0.213808
17.9333,-0.217510
17.9667,-0.217305
18.0000,-0.213175
18.0333,-0.216198
18.0667,-0.216221
18.1000,-0.218402
18.1333,-0.215520
18.1667,-0.213548
18.2000,-0.213940
18.2333,-0.220192
18.2667,-0.220556
18.3000,-0.206795
18.3333,-0.206937
18.3667,-0.205844
18.4000,-0.205370
18.4333,-0.206572
18.4667,-0.202574
18.5000,-0.200175
18.5333,-0.198262
18.5667,-0.199300
18.6000,-0.198954
18.6333,-0.202670
18.6667,-0.199769
18.7000,-0.194792
18.7333,-0.200685
18.7667,-0.200735
18.8000,-0.208193
18.8333,-0.209486
18.8667,-0.210037
18.9000,-0.209946
18.9333,-0.208512
18.9667,-0.208339
19.0000,-0.207538
19.0333,-0.209496
19.0667,-0.208876
19.1000,-0.204323
19.1333,-0.206253
19.1667,-0.207264
19.2000,-0.221562
19.2333,-0.221007
19.2667,-0.219932
