Frame,Time(s),X(px),Y(px),Displacement(px)
184,6.133,531.01,396.42,15.60
187,6.233,512.99,412.51,9.19
188,6.267,510.14,416.84,13.87
189,6.300,514.80,413.82,8.33
190,6.333,532.89,396.21,16.98
191,6.367,514.72,414.74,8.99
192,6.400,532.66,396.01,16.98
193,6.433,523.95,398.84,10.16
194,6.467,511.23,405.02,10.74
195,6.500,507.29,418.64,17.24
196,6.533,513.88,407.90,7.49
197,6.567,504.00,412.52,17.77
198,6.600,513.05,418.41,12.79
199,6.633,510.77,414.32,11.99
200,6.667,533.41,395.17,18.10
201,6.700,514.80,410.99,6.94
202,6.733,537.80,396.64,20.38
203,6.767,559.74,430.91,44.38
204,6.800,511.17,409.75,10.23
205,6.833,525.37,398.81,10.64
206,6.867,520.32,407.12,1.85
207,6.900,521.74,417.01,8.36
208,6.933,517.72,415.77,7.98
209,6.967,539.99,405.15,18.98
210,7.000,514.60,412.97,8.00
211,7.033,509.16,413.91,13.26
212,7.067,515.10,408.28,6.25
213,7.100,538.35,404.44,17.52
214,7.133,509.74,415.53,13.48
217,7.233,512.03,421.60,15.94
218,7.267,532.82,395.86,17.20
219,7.300,515.73,410.46,5.89
220,7.333,510.81,414.59,12.08
221,7.367,519.78,414.11,5.67
222,7.400,531.49,393.62,18.14
223,7.433,514.15,412.66,8.23
224,7.467,515.01,413.54,8.00
225,7.500,515.73,414.83,8.34
226,7.533,537.53,405.94,16.42
227,7.567,518.01,411.98,4.71
228,7.600,534.72,395.90,18.49
229,7.633,510.59,413.49,11.78
230,7.667,520.86,411.61,2.99
233,7.767,518.56,415.68,7.55
234,7.800,515.54,408.97,5.80
235,7.833,504.62,411.54,16.97
236,7.867,508.59,413.62,13.68
237,7.900,515.19,418.98,12.01
238,7.933,514.21,416.16,10.35
239,7.967,519.63,413.86,5.48
242,8.067,517.55,416.10,8.35
243,8.100,524.69,398.10,11.08
244,8.133,518.18,413.78,6.02
245,8.167,507.51,421.17,18.65
246,8.200,503.96,421.55,21.64
247,8.233,522.73,417.14,8.59
248,8.267,525.45,398.18,11.26
249,8.300,514.45,408.63,6.89
250,8.333,527.63,398.87,11.64
251,8.367,511.27,400.54,12.93
252,8.400,533.50,390.85,21.57
253,8.433,530.44,395.03,16.39
254,8.467,526.26,407.85,4.99
255,8.500,508.08,412.65,13.85
256,8.533,516.20,407.51,5.27
257,8.567,524.78,399.15,10.11
258,8.600,526.13,398.46,11.27
259,8.633,514.82,415.98,9.80
260,8.667,520.98,415.73,7.08
261,8.700,508.71,412.42,13.18
262,8.733,528.04,398.01,12.58
263,8.767,538.09,392.27,23.44
264,8.800,497.81,410.24,23.59
265,8.833,516.83,408.20,4.53
266,8.867,521.00,408.64,0.34
267,8.900,535.87,396.33,19.06
268,8.933,518.32,410.03,3.32
269,8.967,519.58,409.16,1.83
270,9.000,508.64,413.39,13.55
271,9.033,567.41,425.79,49.16
